source,destination,action,reason,status
scripts/analyze_apcr1b_500.py,archive/cleanup_2026-06-13/scripts_archive/analyze_apcr1b_500.py,git_mv,obsolete_oneoff_script_manifest,OK
scripts/analyze_apcr1b_500_corrected.py,archive/cleanup_2026-06-13/scripts_archive/analyze_apcr1b_500_corrected.py,git_mv,obsolete_oneoff_script_manifest,OK
scripts/analyze_apcr1b_500_detail.py,archive/cleanup_2026-06-13/scripts_archive/analyze_apcr1b_500_detail.py,git_mv,obsolete_oneoff_script_manifest,OK
scripts/analyze_apcr1b_final.py,archive/cleanup_2026-06-13/scripts_archive/analyze_apcr1b_final.py,git_mv,obsolete_oneoff_script_manifest,OK
scripts/analyze_apcr1b_telemetry_audit.py,archive/cleanup_2026-06-13/scripts_archive/analyze_apcr1b_telemetry_audit.py,git_mv,obsolete_oneoff_script_manifest,OK
scripts/analyze_apcr1e_2000_comparison.py,archive/cleanup_2026-06-13/scripts_archive/analyze_apcr1e_2000_comparison.py,git_mv,obsolete_oneoff_script_manifest,OK
scripts/analyze_apcr1e_500_comparison.py,archive/cleanup_2026-06-13/scripts_archive/analyze_apcr1e_500_comparison.py,git_mv,obsolete_oneoff_script_manifest,OK
scripts/audit_apcr1g_early_transient.py,archive/cleanup_2026-06-13/scripts_archive/audit_apcr1g_early_transient.py,git_mv,obsolete_oneoff_script_manifest,OK
scripts/audit_apcr1j_remaining_drift.py,archive/cleanup_2026-06-13/scripts_archive/audit_apcr1j_remaining_drift.py,git_mv,obsolete_oneoff_script_manifest,OK
scripts/audit_apcr1m_blend_behavior.py,archive/cleanup_2026-06-13/scripts_archive/audit_apcr1m_blend_behavior.py,git_mv,obsolete_oneoff_script_manifest,OK
scripts/audit_apcr1m_position_cap.py,archive/cleanup_2026-06-13/scripts_archive/audit_apcr1m_position_cap.py,git_mv,obsolete_oneoff_script_manifest,OK
scripts/audit_apcr1m_torque_composition.py,archive/cleanup_2026-06-13/scripts_archive/audit_apcr1m_torque_composition.py,git_mv,obsolete_oneoff_script_manifest,OK
scripts/audit_apcr1n_phase2_feature_activation.py,archive/cleanup_2026-06-13/scripts_archive/audit_apcr1n_phase2_feature_activation.py,git_mv,obsolete_oneoff_script_manifest,OK
scripts/boundary_forensic_root_cause_investigation.py,archive/cleanup_2026-06-13/scripts_archive/boundary_forensic_root_cause_investigation.py,git_mv,obsolete_oneoff_script_manifest,OK
scripts/check_apc_telemetry.py,archive/cleanup_2026-06-13/scripts_archive/check_apc_telemetry.py,git_mv,obsolete_oneoff_script_manifest,OK
scripts/check_apcr1n_feature_eligibility.py,archive/cleanup_2026-06-13/scripts_archive/check_apcr1n_feature_eligibility.py,git_mv,obsolete_oneoff_script_manifest,OK
scripts/check_apcr_fields.py,archive/cleanup_2026-06-13/scripts_archive/check_apcr_fields.py,git_mv,obsolete_oneoff_script_manifest,OK
scripts/check_apcr_inconclusive.py,archive/cleanup_2026-06-13/scripts_archive/check_apcr_inconclusive.py,git_mv,obsolete_oneoff_script_manifest,OK
scripts/check_baseline.py,archive/cleanup_2026-06-13/scripts_archive/check_baseline.py,git_mv,obsolete_oneoff_script_manifest,OK
